Location,Rainfall (mm),Depth_to_Water_Level (m),Seasonal_Fluctuation (m),Soil_Type,Rock_Type,Aquifer_Type,Required_Bore_Depth (m)
Adilabad,1045.38,2.82,3.22,Black Cotton,Basalt,Unconfined,7.24
Warangal,1776.35,8.18,4.54,Red Sandy,Quartzite,Confined,15.49
Warangal,1765.36,6.48,2.2,Red Sandy,Quartzite,Confined,10.51
Medak,1229.91,15.59,3.66,Black Cotton,Schist,Semi-confined,22.15
Adilabad,1077.25,5.54,4.93,Red Sandy,Granite,Confined,11.9
Khammam,1573.87,9.11,4.4,Laterite,Quartzite,Unconfined,15.04
Karimnagar,1269.88,8.51,2.83,Laterite,Schist,Confined,12.82
Mahabubnagar,1206.06,7.1,4.76,Loamy,Granite,Semi-confined,14.1
Karimnagar,1232.56,6.81,3.93,Laterite,Basalt,Semi-confined,12.39
Adilabad,1056.02,3.92,2.36,Laterite,Granite,Semi-confined,9.14
Khammam,1634.26,6.73,4.52,Loamy,Quartzite,Semi-confined,12.62
Rangareddy,1123.57,7.74,4.67,Black Cotton,Quartzite,Semi-confined,13.67
Hyderabad,1241.53,7.87,4.24,Loamy,Granite,Confined,14.52
Warangal,1818.29,8.22,2.88,Laterite,Schist,Semi-confined,12.67
Warangal,1804.28,6.61,3.41,Black Cotton,Schist,Semi-confined,11.47
Nalgonda,985.5,7.02,3.25,Loamy,Granite,Semi-confined,13.25
Rangareddy,1120.22,8.31,2.54,Black Cotton,Quartzite,Semi-confined,12.32
Medak,1229.47,16.42,3.47,Red Sandy,Quartzite,Semi-confined,21.7
Karimnagar,1213.73,9.03,2.81,Loamy,Quartzite,Confined,14.57
Adilabad,1107.14,4.93,4.79,Red Sandy,Quartzite,Unconfined,12.65
Nalgonda,979.66,8.11,2.92,Black Cotton,Quartzite,Unconfined,13.32
Khammam,1640.39,9.11,3.53,Laterite,Granite,Semi-confined,14.88
Khammam,1596.2,8.98,2.97,Red Sandy,Quartzite,Semi-confined,13.69
Warangal,1734.38,8.58,4.12,Loamy,Basalt,Semi-confined,14.23
Nalgonda,1002.15,7.14,3.77,Red Sandy,Schist,Confined,12.76
Khammam,1593.93,9.25,1.67,Red Sandy,Schist,Unconfined,12.12
Medak,1174.86,14.52,2.23,Laterite,Quartzite,Unconfined,19.59
Rangareddy,1147.47,8.73,3.52,Laterite,Schist,Unconfined,14.99
Adilabad,1068.13,3.45,3.12,Black Cotton,Granite,Semi-confined,9.57
Hyderabad,1232.2,8.22,4.69,Laterite,Quartzite,Unconfined,14.99
Khammam,1610.97,8.38,2.9,Black Cotton,Quartzite,Unconfined,13.56
Khammam,1634.34,8.65,2.09,Loamy,Basalt,Semi-confined,12.13
Rangareddy,1112.56,8.59,1.89,Black Cotton,Schist,Semi-confined,11.5
Rangareddy,1139.38,8.8,2.18,Black Cotton,Granite,Unconfined,12.99
Medak,1190.72,16.49,3.12,Loamy,Schist,Unconfined,21.04
Nizamabad,1115.12,7.77,3.3,Loamy,Quartzite,Confined,12.29
Hyderabad,1201.05,8.79,2.66,Laterite,Schist,Semi-confined,14.18
Karimnagar,1260.2,9.33,4.49,Black Cotton,Granite,Unconfined,16.25
Rangareddy,1102.48,6.42,4.35,Loamy,Schist,Unconfined,12.19
Khammam,1605.55,8.91,4.09,Loamy,Quartzite,Semi-confined,14.52
Medak,1177.22,16.52,1.59,Laterite,Basalt,Confined,20.88
Khammam,1653.35,6.81,4.95,Loamy,Quartzite,Unconfined,13.71
Hyderabad,1220.83,9.29,2.19,Black Cotton,Schist,Unconfined,13.4
Mahabubnagar,1240.66,8.29,3.03,Loamy,Granite,Semi-confined,12.87
Nizamabad,1153.01,8.8,1.65,Black Cotton,Basalt,Semi-confined,11.49
Khammam,1580.56,8.09,1.87,Red Sandy,Quartzite,Unconfined,11.82
Nalgonda,969.51,8.51,2.65,Black Cotton,Basalt,Confined,12.79
Adilabad,1075.3,4.19,3.61,Laterite,Basalt,Unconfined,10.51
Hyderabad,1230.68,6.99,2.44,Black Cotton,Granite,Confined,11.2
Nizamabad,1117.64,8.88,2.44,Black Cotton,Quartzite,Semi-confined,13.75
Rangareddy,1155.18,9.32,3.74,Loamy,Basalt,Semi-confined,15.62
Khammam,1650.68,6.59,3.46,Black Cotton,Quartzite,Unconfined,12.02
Nalgonda,950.88,8.86,4.3,Black Cotton,Quartzite,Semi-confined,16.0
Hyderabad,1160.75,7.75,3.99,Laterite,Granite,Confined,14.14
Karimnagar,1203.95,7.61,3.55,Black Cotton,Basalt,Unconfined,12.2
Nalgonda,964.16,7.52,2.6,Loamy,Basalt,Confined,12.38
Rangareddy,1094.49,7.02,2.26,Black Cotton,Basalt,Confined,11.46
Rangareddy,1096.51,8.32,1.6,Loamy,Granite,Unconfined,12.42
Hyderabad,1179.62,9.17,3.48,Black Cotton,Granite,Unconfined,15.54
Khammam,1626.52,8.76,1.76,Laterite,Schist,Semi-confined,12.22
Nizamabad,1085.09,6.51,1.75,Red Sandy,Basalt,Confined,9.67
Warangal,1830.81,7.88,4.31,Loamy,Basalt,Unconfined,14.85
Khammam,1573.9,7.25,4.92,Loamy,Basalt,Confined,14.74
Adilabad,1066.87,3.72,2.48,Red Sandy,Granite,Unconfined,8.09
Karimnagar,1230.06,7.82,1.53,Red Sandy,Basalt,Confined,11.04
Hyderabad,1191.79,7.25,4.11,Red Sandy,Granite,Semi-confined,12.4
Rangareddy,1111.54,9.03,4.63,Red Sandy,Quartzite,Unconfined,16.0
Karimnagar,1205.91,8.12,4.31,Laterite,Schist,Confined,13.65
Warangal,1765.41,9.18,2.66,Black Cotton,Granite,Confined,13.58
Warangal,1755.31,7.6,2.5,Black Cotton,Basalt,Unconfined,12.46
Nizamabad,1156.83,6.41,3.73,Red Sandy,Basalt,Semi-confined,12.31
Rangareddy,1137.2,8.51,2.75,Loamy,Schist,Confined,12.64
Mahabubnagar,1211.73,7.89,4.83,Laterite,Schist,Confined,14.48
Warangal,1825.55,9.13,3.46,Loamy,Schist,Semi-confined,15.42
Mahabubnagar,1245.7,6.87,3.06,Loamy,Schist,Semi-confined,12.0
Khammam,1558.58,6.81,3.66,Laterite,Schist,Confined,13.31
Karimnagar,1271.04,9.18,4.58,Red Sandy,Basalt,Confined,16.01
Karimnagar,1286.09,7.58,4.9,Laterite,Schist,Unconfined,14.64
Nalgonda,1013.23,9.08,3.27,Red Sandy,Quartzite,Semi-confined,15.31
Khammam,1616.58,8.16,3.41,Laterite,Basalt,Confined,14.38
Hyderabad,1178.89,8.13,3.31,Black Cotton,Basalt,Confined,13.17
Khammam,1630.54,6.79,2.02,Loamy,Quartzite,Semi-confined,9.99
Rangareddy,1134.63,7.16,4.89,Laterite,Schist,Unconfined,13.51
Karimnagar,1253.84,8.97,2.36,Red Sandy,Quartzite,Confined,14.21
Nizamabad,1134.86,7.81,1.76,Black Cotton,Quartzite,Confined,11.48
Rangareddy,1125.26,6.65,4.75,Loamy,Granite,Confined,14.08
Adilabad,1045.23,5.58,3.56,Loamy,Basalt,Unconfined,11.89
Adilabad,1084.63,3.25,3.06,Loamy,Basalt,Unconfined,7.76
Mahabubnagar,1196.75,8.12,3.41,Laterite,Basalt,Unconfined,13.53
Nalgonda,994.67,7.04,2.4,Loamy,Basalt,Semi-confined,11.84
Nizamabad,1093.11,8.71,3.72,Red Sandy,Quartzite,Semi-confined,14.84
Khammam,1612.42,8.55,2.86,Loamy,Schist,Confined,13.31
Mahabubnagar,1243.39,7.04,2.92,Black Cotton,Basalt,Semi-confined,11.32
Hyderabad,1197.19,7.02,3.62,Red Sandy,Quartzite,Unconfined,12.27
Karimnagar,1234.64,8.04,3.42,Red Sandy,Schist,Confined,13.5
Rangareddy,1099.34,8.69,4.41,Loamy,Granite,Unconfined,15.86
Karimnagar,1214.34,7.81,2.79,Laterite,Basalt,Confined,13.6
Mahabubnagar,1206.13,9.24,1.76,Loamy,Quartzite,Unconfined,13.38
Hyderabad,1218.91,7.53,4.23,Laterite,Schist,Confined,13.81
Warangal,1769.33,7.64,4.05,Loamy,Schist,Confined,14.69
Karimnagar,1231.07,7.08,4.06,Loamy,Basalt,Semi-confined,12.77
Karimnagar,1279.6,7.23,3.13,Loamy,Basalt,Unconfined,12.62
Nizamabad,1118.53,7.29,2.9,Red Sandy,Schist,Semi-confined,12.39
Warangal,1745.52,9.33,2.88,Red Sandy,Granite,Confined,14.06
Adilabad,1083.54,4.26,3.74,Laterite,Basalt,Confined,9.14
Medak,1216.61,17.12,3.58,Loamy,Schist,Confined,21.87
Khammam,1653.03,9.17,4.18,Loamy,Quartzite,Semi-confined,16.25
Karimnagar,1204.24,6.47,3.04,Loamy,Basalt,Semi-confined,11.38
Khammam,1604.81,7.59,4.26,Black Cotton,Schist,Confined,13.76
Medak,1157.54,14.69,4.65,Laterite,Quartzite,Confined,21.24
Nalgonda,955.87,7.8,3.41,Red Sandy,Granite,Confined,13.58
Rangareddy,1135.33,8.84,3.29,Loamy,Schist,Confined,14.17
Khammam,1631.95,6.4,2.88,Red Sandy,Basalt,Unconfined,11.26
Khammam,1571.61,7.74,3.79,Laterite,Schist,Confined,12.79
Mahabubnagar,1248.41,8.6,4.32,Loamy,Basalt,Unconfined,15.14
Adilabad,1123.81,3.42,1.57,Black Cotton,Quartzite,Semi-confined,6.35
Warangal,1820.23,6.89,4.55,Black Cotton,Quartzite,Semi-confined,13.46
Mahabubnagar,1200.44,7.6,4.94,Laterite,Quartzite,Confined,14.94
Karimnagar,1259.87,8.8,3.8,Red Sandy,Basalt,Semi-confined,15.51
Rangareddy,1136.4,9.28,4.21,Loamy,Granite,Confined,15.16
Nizamabad,1159.82,7.29,1.54,Loamy,Granite,Unconfined,11.01
Mahabubnagar,1199.11,7.97,1.67,Red Sandy,Quartzite,Unconfined,11.96
Karimnagar,1264.71,9.01,1.58,Laterite,Quartzite,Confined,12.86
Warangal,1826.89,9.28,1.9,Loamy,Basalt,Confined,14.01
Rangareddy,1144.47,6.43,4.86,Loamy,Quartzite,Semi-confined,14.02
Nalgonda,991.37,8.66,3.8,Laterite,Quartzite,Unconfined,14.04
Nizamabad,1144.84,7.16,2.5,Loamy,Quartzite,Semi-confined,11.72
Nalgonda,1003.38,8.27,3.88,Laterite,Schist,Semi-confined,14.06
Hyderabad,1145.25,6.4,3.07,Loamy,Schist,Semi-confined,12.32
Rangareddy,1115.22,9.18,3.28,Loamy,Quartzite,Confined,14.38
Karimnagar,1217.94,8.01,3.88,Laterite,Granite,Semi-confined,13.82
Hyderabad,1209.35,7.19,2.97,Loamy,Granite,Confined,11.74
Karimnagar,1254.82,6.91,1.53,Black Cotton,Basalt,Unconfined,9.86
Mahabubnagar,1199.19,7.69,3.42,Red Sandy,Schist,Confined,12.54
Hyderabad,1171.24,6.82,2.5,Laterite,Granite,Unconfined,10.64
Rangareddy,1149.93,7.22,4.01,Loamy,Granite,Semi-confined,13.06
Adilabad,1099.86,3.91,4.81,Laterite,Basalt,Unconfined,10.78
Rangareddy,1123.31,7.74,1.91,Red Sandy,Granite,Confined,11.14
Medak,1166.99,15.38,3.3,Black Cotton,Basalt,Confined,20.37
Mahabubnagar,1236.1,9.15,3.36,Red Sandy,Quartzite,Confined,14.48
Mahabubnagar,1205.22,8.06,2.85,Laterite,Schist,Unconfined,12.33
Adilabad,1110.74,4.84,2.57,Red Sandy,Schist,Confined,9.59
Nizamabad,1149.9,6.51,3.38,Red Sandy,Basalt,Unconfined,11.6
Adilabad,1064.49,3.2,3.11,Black Cotton,Basalt,Semi-confined,9.21
Karimnagar,1241.23,7.27,4.5,Red Sandy,Schist,Unconfined,14.11
Mahabubnagar,1248.83,8.89,1.65,Black Cotton,Basalt,Semi-confined,12.76
Warangal,1756.65,8.42,2.49,Laterite,Basalt,Semi-confined,12.0
Karimnagar,1265.51,7.09,4.97,Red Sandy,Schist,Confined,14.18
Nalgonda,1019.56,6.75,4.82,Laterite,Granite,Confined,13.83
Adilabad,1057.67,4.96,1.87,Laterite,Granite,Unconfined,9.77
Adilabad,1086.75,3.35,1.94,Laterite,Schist,Confined,6.82
Nalgonda,991.19,6.47,2.81,Red Sandy,Granite,Semi-confined,10.91
Mahabubnagar,1199.69,8.87,2.3,Red Sandy,Basalt,Confined,13.46
Karimnagar,1251.73,7.52,2.8,Laterite,Granite,Semi-confined,12.02
Medak,1232.26,14.68,3.1,Black Cotton,Basalt,Confined,19.67
Rangareddy,1071.8,7.88,3.78,Black Cotton,Basalt,Semi-confined,13.33
Hyderabad,1220.59,6.86,3.91,Laterite,Schist,Semi-confined,12.94
Medak,1208.82,15.29,3.17,Laterite,Basalt,Confined,20.23
Medak,1236.92,15.82,4.74,Black Cotton,Basalt,Semi-confined,22.1
Mahabubnagar,1223.67,6.9,2.22,Black Cotton,Basalt,Semi-confined,10.88
Nalgonda,943.2,8.97,2.21,Red Sandy,Basalt,Unconfined,13.72
Khammam,1622.37,7.41,1.92,Laterite,Basalt,Confined,10.5
Nalgonda,977.3,7.38,4.95,Laterite,Granite,Unconfined,14.0
Karimnagar,1288.57,6.96,2.11,Laterite,Basalt,Semi-confined,11.05
Karimnagar,1233.56,8.12,3.39,Loamy,Schist,Semi-confined,12.75
Medak,1207.06,16.63,1.84,Black Cotton,Quartzite,Unconfined,20.07
Warangal,1784.8,7.92,4.03,Red Sandy,Basalt,Confined,14.59
Adilabad,1064.4,3.85,4.28,Laterite,Quartzite,Semi-confined,9.88
Adilabad,1114.5,5.3,1.79,Red Sandy,Granite,Unconfined,8.6
Adilabad,1064.78,4.35,4.26,Laterite,Quartzite,Confined,9.81
Rangareddy,1104.65,9.16,2.9,Black Cotton,Granite,Confined,14.01
Medak,1248.29,15.67,3.5,Red Sandy,Basalt,Semi-confined,21.83
Mahabubnagar,1210.34,7.86,4.21,Black Cotton,Quartzite,Confined,14.24
Khammam,1635.17,9.2,2.57,Red Sandy,Schist,Unconfined,13.91
Medak,1224.45,15.88,1.77,Loamy,Granite,Confined,20.51
Rangareddy,1153.79,7.96,4.4,Loamy,Schist,Confined,14.97
Khammam,1570.54,8.55,2.92,Black Cotton,Quartzite,Semi-confined,14.29
Nizamabad,1156.97,7.94,1.86,Black Cotton,Basalt,Unconfined,11.8
Karimnagar,1257.15,8.52,4.61,Black Cotton,Basalt,Confined,14.25
Nizamabad,1132.08,9.17,4.13,Red Sandy,Basalt,Semi-confined,15.89
Nalgonda,966.73,8.35,2.88,Red Sandy,Basalt,Semi-confined,13.31
Medak,1232.42,16.57,1.82,Loamy,Schist,Unconfined,19.82
Rangareddy,1140.48,8.51,4.96,Red Sandy,Quartzite,Semi-confined,14.75
Hyderabad,1224.69,8.37,3.44,Red Sandy,Granite,Unconfined,13.14
Nalgonda,956.3,7.64,2.16,Laterite,Basalt,Confined,11.76
Hyderabad,1204.42,6.69,2.56,Red Sandy,Granite,Unconfined,12.11
Hyderabad,1226.29,7.88,4.52,Loamy,Quartzite,Semi-confined,13.58
Khammam,1604.84,7.32,4.62,Laterite,Quartzite,Semi-confined,13.76
Rangareddy,1063.87,8.55,2.48,Black Cotton,Basalt,Unconfined,12.52
Adilabad,1101.62,4.25,3.37,Red Sandy,Schist,Semi-confined,9.67
Adilabad,1051.27,3.9,2.69,Laterite,Granite,Unconfined,9.53
Mahabubnagar,1266.66,7.68,3.6,Black Cotton,Schist,Unconfined,13.38
Hyderabad,1165.63,8.41,1.72,Laterite,Schist,Confined,12.71
Nalgonda,933.27,7.01,4.31,Loamy,Granite,Confined,13.9
Warangal,1766.65,9.18,2.53,Laterite,Basalt,Semi-confined,14.0
Nalgonda,1027.89,8.04,3.45,Black Cotton,Quartzite,Unconfined,13.59
Nalgonda,943.03,7.48,4.52,Laterite,Quartzite,Confined,14.95
Karimnagar,1292.71,8.75,2.95,Loamy,Basalt,Semi-confined,13.58
Mahabubnagar,1222.45,6.59,1.61,Red Sandy,Schist,Semi-confined,10.87
Mahabubnagar,1253.96,6.48,1.55,Loamy,Quartzite,Unconfined,10.98
Hyderabad,1164.24,8.7,2.56,Black Cotton,Granite,Semi-confined,12.34
Khammam,1635.84,6.75,3.25,Black Cotton,Quartzite,Unconfined,12.88
Adilabad,1039.09,3.55,3.5,Black Cotton,Schist,Semi-confined,9.97
Hyderabad,1210.96,8.52,1.81,Black Cotton,Schist,Semi-confined,13.08
Warangal,1732.89,8.94,2.78,Loamy,Granite,Semi-confined,13.91
Nizamabad,1100.03,9.28,4.86,Laterite,Schist,Confined,16.24
Karimnagar,1298.96,8.68,3.37,Laterite,Schist,Confined,13.25
Nizamabad,1143.99,7.78,3.36,Black Cotton,Granite,Semi-confined,13.74
Mahabubnagar,1230.36,9.05,2.85,Red Sandy,Quartzite,Semi-confined,13.15
Medak,1171.54,15.33,1.76,Loamy,Granite,Confined,18.56
Nalgonda,967.88,8.57,3.35,Loamy,Quartzite,Confined,13.38
Nizamabad,1096.24,7.85,4.72,Loamy,Granite,Unconfined,13.61
Nalgonda,929.61,6.88,2.16,Black Cotton,Granite,Confined,10.46
Warangal,1747.6,7.23,1.86,Laterite,Schist,Unconfined,11.21
Rangareddy,1101.09,6.98,4.87,Red Sandy,Basalt,Semi-confined,14.25
Nalgonda,976.41,7.48,4.55,Loamy,Basalt,Confined,14.67
Warangal,1805.26,7.91,3.67,Loamy,Basalt,Semi-confined,13.06
Hyderabad,1206.82,7.28,3.07,Loamy,Granite,Semi-confined,12.16
Mahabubnagar,1257.32,9.26,3.1,Black Cotton,Granite,Confined,14.08
Rangareddy,1067.03,9.34,3.08,Black Cotton,Basalt,Unconfined,14.9
Mahabubnagar,1193.81,6.61,4.86,Red Sandy,Quartzite,Unconfined,14.28
Adilabad,1044.03,4.44,3.99,Red Sandy,Schist,Semi-confined,9.59
Adilabad,1079.74,3.55,4.18,Red Sandy,Quartzite,Semi-confined,9.85
Karimnagar,1244.44,7.0,1.53,Black Cotton,Quartzite,Confined,10.43
Rangareddy,1098.53,7.83,3.8,Red Sandy,Granite,Semi-confined,14.3
Warangal,1822.07,7.89,3.96,Red Sandy,Granite,Semi-confined,13.49
Warangal,1797.71,9.15,4.85,Black Cotton,Schist,Confined,17.0
Warangal,1749.83,7.5,3.58,Loamy,Schist,Unconfined,13.37
Karimnagar,1271.39,7.84,4.9,Red Sandy,Basalt,Semi-confined,15.63
Nalgonda,1005.04,8.39,3.34,Red Sandy,Basalt,Confined,13.47
Warangal,1731.16,9.35,4.41,Black Cotton,Schist,Confined,14.94
Adilabad,1091.59,5.19,1.66,Red Sandy,Schist,Unconfined,8.77
Hyderabad,1146.69,7.6,2.58,Laterite,Granite,Semi-confined,11.46
Karimnagar,1206.58,7.97,4.74,Laterite,Quartzite,Semi-confined,14.77
Hyderabad,1158.04,6.98,2.31,Red Sandy,Basalt,Semi-confined,11.64
Warangal,1799.54,7.13,2.61,Laterite,Schist,Confined,11.66
Mahabubnagar,1187.82,7.39,3.27,Black Cotton,Granite,Unconfined,11.85
Medak,1236.15,16.33,4.62,Loamy,Quartzite,Confined,23.05
Karimnagar,1257.1,7.14,1.89,Loamy,Quartzite,Confined,12.0
Rangareddy,1060.53,9.14,4.59,Laterite,Schist,Semi-confined,16.52
Medak,1242.32,17.28,3.08,Laterite,Quartzite,Confined,22.99
Medak,1179.0,14.43,4.52,Red Sandy,Quartzite,Semi-confined,21.35
Hyderabad,1178.7,8.73,4.52,Laterite,Quartzite,Semi-confined,14.27
Nalgonda,959.31,7.63,4.25,Red Sandy,Quartzite,Semi-confined,14.74
Medak,1245.87,14.42,3.91,Black Cotton,Granite,Unconfined,19.85
Nizamabad,1166.32,6.49,4.74,Red Sandy,Schist,Confined,12.9
Nizamabad,1085.41,7.88,3.36,Loamy,Schist,Unconfined,13.23
Hyderabad,1186.75,9.15,3.09,Loamy,Quartzite,Unconfined,13.9
Medak,1187.12,15.33,4.96,Loamy,Quartzite,Unconfined,22.11
Nalgonda,967.43,8.69,4.64,Red Sandy,Granite,Unconfined,14.58
Nalgonda,1002.19,6.53,4.21,Laterite,Basalt,Unconfined,13.1
Nalgonda,984.95,6.96,4.4,Black Cotton,Basalt,Semi-confined,12.4
Medak,1241.17,14.9,1.74,Black Cotton,Schist,Confined,17.7
Hyderabad,1149.74,8.48,2.48,Loamy,Schist,Unconfined,12.01
Adilabad,1085.77,5.08,3.01,Loamy,Schist,Confined,9.67
Mahabubnagar,1188.0,8.95,3.63,Laterite,Schist,Confined,14.57
Khammam,1632.44,6.53,3.59,Loamy,Quartzite,Semi-confined,12.61
Nizamabad,1118.16,8.43,4.54,Black Cotton,Granite,Semi-confined,14.19
Warangal,1759.02,7.82,4.18,Red Sandy,Basalt,Semi-confined,13.52
Khammam,1554.35,6.87,3.97,Red Sandy,Granite,Unconfined,12.3
Warangal,1817.74,8.64,2.32,Loamy,Granite,Confined,13.59
Hyderabad,1179.24,7.46,3.14,Laterite,Schist,Confined,13.35
Nizamabad,1102.4,7.45,3.79,Laterite,Schist,Unconfined,13.09
Nalgonda,933.32,7.88,2.98,Loamy,Basalt,Semi-confined,13.39
Medak,1209.51,14.7,2.05,Red Sandy,Quartzite,Unconfined,18.03
Medak,1157.72,15.74,3.5,Laterite,Basalt,Confined,20.99
Karimnagar,1286.91,6.49,2.48,Laterite,Quartzite,Unconfined,11.29
Medak,1170.85,17.02,1.85,Loamy,Schist,Confined,20.39
Karimnagar,1216.84,7.6,3.65,Black Cotton,Schist,Confined,13.28
Mahabubnagar,1181.51,8.36,4.9,Black Cotton,Quartzite,Confined,15.58
Rangareddy,1119.8,8.23,2.11,Red Sandy,Quartzite,Semi-confined,12.35
Hyderabad,1182.34,9.25,2.46,Laterite,Quartzite,Unconfined,14.69
Khammam,1614.22,8.03,4.9,Red Sandy,Schist,Semi-confined,15.58
Warangal,1789.3,6.88,3.67,Laterite,Quartzite,Confined,13.16
Hyderabad,1210.67,9.34,1.95,Black Cotton,Basalt,Semi-confined,12.65
Nizamabad,1148.97,6.79,4.84,Loamy,Basalt,Confined,13.54
Khammam,1555.61,7.43,1.67,Black Cotton,Basalt,Confined,10.59
Hyderabad,1199.0,8.43,2.83,Loamy,Schist,Semi-confined,13.0
Khammam,1557.06,9.39,1.9,Red Sandy,Quartzite,Semi-confined,12.6
Hyderabad,1166.51,8.29,4.99,Laterite,Quartzite,Unconfined,15.11
Hyderabad,1190.48,6.64,4.41,Laterite,Schist,Unconfined,12.58
Mahabubnagar,1183.26,9.18,2.65,Loamy,Granite,Unconfined,14.39
Rangareddy,1084.34,8.18,1.96,Black Cotton,Granite,Unconfined,12.42
Khammam,1609.81,8.75,4.1,Black Cotton,Schist,Semi-confined,15.78
Adilabad,1084.38,2.65,2.79,Loamy,Quartzite,Unconfined,8.02
Rangareddy,1151.85,6.97,3.47,Loamy,Basalt,Confined,12.53
Medak,1232.07,17.07,2.07,Red Sandy,Granite,Confined,21.65
Mahabubnagar,1233.32,7.94,4.02,Black Cotton,Quartzite,Confined,14.32
Mahabubnagar,1215.57,8.3,4.64,Loamy,Granite,Semi-confined,15.0
Nizamabad,1109.53,8.53,4.97,Red Sandy,Schist,Unconfined,16.32
Mahabubnagar,1228.19,7.41,3.22,Red Sandy,Schist,Confined,13.46
Warangal,1797.07,7.6,3.56,Loamy,Granite,Semi-confined,13.97
Hyderabad,1221.27,6.71,2.69,Loamy,Granite,Unconfined,12.26
Mahabubnagar,1206.26,8.41,3.45,Loamy,Basalt,Semi-confined,14.7
Medak,1224.27,15.48,3.2,Loamy,Schist,Unconfined,20.82
Medak,1211.19,15.52,3.65,Red Sandy,Granite,Unconfined,20.33
Medak,1222.13,15.47,4.32,Loamy,Quartzite,Semi-confined,22.79
Karimnagar,1297.55,6.46,1.72,Red Sandy,Quartzite,Confined,10.82
Rangareddy,1074.03,8.97,4.26,Laterite,Basalt,Unconfined,15.0
Medak,1242.32,14.57,3.15,Red Sandy,Granite,Semi-confined,19.33
Rangareddy,1148.56,6.87,2.92,Red Sandy,Basalt,Semi-confined,12.26
Nalgonda,1019.72,7.31,1.63,Laterite,Basalt,Unconfined,10.27
Rangareddy,1101.37,8.81,1.5,Laterite,Schist,Confined,12.44
Karimnagar,1282.46,8.76,3.27,Laterite,Schist,Semi-confined,13.74
Mahabubnagar,1181.27,9.36,1.97,Red Sandy,Basalt,Confined,12.39
Adilabad,1108.61,2.71,4.37,Laterite,Granite,Confined,8.86
Mahabubnagar,1184.34,6.42,3.81,Red Sandy,Schist,Semi-confined,12.74
Mahabubnagar,1212.26,8.87,3.83,Loamy,Granite,Semi-confined,15.06
Khammam,1642.04,7.35,1.57,Red Sandy,Schist,Semi-confined,10.02
Rangareddy,1114.19,7.64,1.95,Red Sandy,Quartzite,Semi-confined,10.69
Nizamabad,1077.97,8.41,3.18,Black Cotton,Basalt,Confined,13.36
Rangareddy,1104.22,6.55,3.94,Laterite,Granite,Semi-confined,12.48
Medak,1215.39,14.83,4.49,Laterite,Granite,Semi-confined,21.8
Medak,1169.35,16.93,1.94,Red Sandy,Quartzite,Confined,20.21
Hyderabad,1148.92,7.66,2.95,Black Cotton,Basalt,Semi-confined,12.87
Rangareddy,1110.15,7.48,4.82,Red Sandy,Schist,Unconfined,13.76
Mahabubnagar,1246.44,6.66,4.47,Laterite,Quartzite,Unconfined,12.14
Nizamabad,1116.1,6.61,3.46,Loamy,Quartzite,Unconfined,12.69
Nizamabad,1146.23,8.64,2.12,Red Sandy,Quartzite,Semi-confined,12.36
Warangal,1732.83,7.04,3.16,Loamy,Quartzite,Confined,13.18
Adilabad,1080.19,5.26,3.44,Loamy,Quartzite,Confined,10.23
Rangareddy,1118.97,7.49,3.74,Loamy,Granite,Unconfined,13.96
Nizamabad,1124.0,6.94,1.8,Black Cotton,Quartzite,Confined,10.75
Hyderabad,1233.04,7.19,3.57,Laterite,Basalt,Confined,13.08
Medak,1236.44,15.2,2.13,Black Cotton,Granite,Confined,19.85
Hyderabad,1187.99,9.01,3.58,Laterite,Basalt,Unconfined,14.53
Khammam,1627.47,6.73,3.06,Loamy,Quartzite,Confined,11.08
Hyderabad,1237.15,7.25,3.83,Laterite,Basalt,Confined,13.89
Khammam,1647.62,9.34,2.83,Black Cotton,Granite,Unconfined,14.86
Medak,1169.41,16.93,3.65,Black Cotton,Schist,Unconfined,22.5
Adilabad,1134.91,2.75,3.77,Red Sandy,Quartzite,Confined,8.65
Mahabubnagar,1267.52,6.61,2.19,Loamy,Schist,Confined,10.46
Nizamabad,1105.03,8.72,1.54,Loamy,Schist,Semi-confined,11.96
Khammam,1619.05,7.91,4.18,Black Cotton,Schist,Unconfined,15.04
Nizamabad,1147.13,6.5,4.64,Black Cotton,Granite,Semi-confined,13.48
Nizamabad,1113.85,8.63,1.74,Black Cotton,Granite,Confined,12.31
Adilabad,1067.96,4.41,2.52,Laterite,Basalt,Unconfined,9.5
Hyderabad,1232.25,8.6,1.97,Black Cotton,Quartzite,Unconfined,12.86
Mahabubnagar,1186.55,6.81,3.15,Laterite,Quartzite,Confined,11.42
Khammam,1627.34,8.68,1.97,Red Sandy,Basalt,Unconfined,12.88
Mahabubnagar,1272.18,6.7,2.23,Laterite,Granite,Semi-confined,11.49
Mahabubnagar,1226.92,9.2,2.68,Laterite,Granite,Unconfined,14.49
Nalgonda,986.57,8.51,4.36,Laterite,Granite,Confined,13.92
Karimnagar,1234.16,8.27,2.67,Laterite,Quartzite,Confined,11.96
Nizamabad,1149.6,8.16,4.88,Loamy,Granite,Unconfined,15.39
Adilabad,1046.05,4.81,3.37,Loamy,Granite,Semi-confined,9.37
Karimnagar,1244.96,8.07,1.92,Black Cotton,Granite,Semi-confined,11.66
Mahabubnagar,1262.62,7.16,3.16,Loamy,Granite,Semi-confined,11.62
Warangal,1765.74,8.43,2.88,Red Sandy,Granite,Semi-confined,13.02
